% Tag dig fucking sammen pycharm
@RELATION CombinedData

@ATTRIBUTE src_bytes REAL
@ATTRIBUTE dst_bytes REAL
@ATTRIBUTE protocol_type {tcp, udp, icmpv6, None}
@ATTRIBUTE dio_count REAL
@ATTRIBUTE dao_count REAL
@ATTRIBUTE dis_count REAL
@ATTRIBUTE class {normal, anomaly, None}

@DATA
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
54.0,0.0,udp,0.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
270.0,0.0,udp,0.0,0.0,0.0,anomaly
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
500.0,0.0,icmpv6,0.0,10.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
410.0,0.0,udp,0.0,0.0,0.0,normal
108.0,0.0,udp,0.0,0.0,0.0,normal
224.0,0.0,udp,0.0,0.0,0.0,normal
216.0,0.0,udp,0.0,0.0,0.0,anomaly
162.0,0.0,udp,0.0,0.0,0.0,anomaly
54.0,0.0,udp,0.0,0.0,0.0,normal
216.0,0.0,udp,0.0,0.0,0.0,anomaly
618.0,0.0,udp,0.0,0.0,0.0,normal
54.0,0.0,udp,0.0,0.0,0.0,normal
54.0,0.0,udp,0.0,0.0,0.0,normal
54.0,0.0,udp,0.0,0.0,0.0,normal
54.0,0.0,udp,0.0,0.0,0.0,normal
54.0,0.0,udp,0.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
216.0,0.0,udp,0.0,0.0,0.0,anomaly
966.0,0.0,udp,0.0,0.0,0.0,normal
402.0,0.0,udp,0.0,0.0,0.0,anomaly
286.0,0.0,udp,0.0,0.0,0.0,normal
54.0,0.0,udp,0.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
410.0,0.0,udp,0.0,0.0,0.0,normal
216.0,0.0,udp,0.0,0.0,0.0,anomaly
402.0,0.0,udp,0.0,0.0,0.0,anomaly
216.0,0.0,udp,0.0,0.0,0.0,anomaly
162.0,0.0,udp,0.0,0.0,0.0,anomaly
108.0,0.0,udp,0.0,0.0,0.0,normal
54.0,0.0,udp,0.0,0.0,0.0,normal
216.0,0.0,udp,0.0,0.0,0.0,anomaly
54.0,0.0,udp,0.0,0.0,0.0,normal
224.0,0.0,udp,0.0,0.0,0.0,normal
588.0,0.0,udp,0.0,0.0,0.0,anomaly
54.0,0.0,udp,0.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
472.0,0.0,udp,0.0,0.0,0.0,normal
54.0,0.0,udp,0.0,0.0,0.0,normal
0.0,150.0,icmpv6,0.0,3.0,0.0,normal
1500.0,0.0,icmpv6,0.0,30.0,0.0,normal
0.0,200.0,icmpv6,0.0,4.0,0.0,normal
0.0,450.0,icmpv6,0.0,9.0,0.0,normal
750.0,0.0,icmpv6,0.0,15.0,0.0,normal
54.0,0.0,udp,0.0,0.0,0.0,anomaly
0.0,200.0,icmpv6,0.0,4.0,0.0,normal
0.0,400.0,icmpv6,0.0,8.0,0.0,normal
0.0,200.0,icmpv6,0.0,4.0,0.0,normal
0.0,200.0,icmpv6,0.0,4.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,2688.0,icmpv6,32.0,0.0,0.0,normal
348.0,0.0,udp,0.0,0.0,0.0,anomaly
50.0,0.0,icmpv6,0.0,1.0,0.0,normal
486.0,0.0,udp,0.0,0.0,0.0,anomaly
